task	run	trial	onset	item	fixtime	fixcol	resp	acc	rt	flip1	flip2	flip3	flip4
1	2	49	204	4	0.100	1	1	1	0.531	1880298.924	1880298.991	1880299.897	1880299.900
1	2	50	208	3	0.800	2	2	1	0.384	1880302.901	1880303.690	1880303.890	1880303.894
1	2	51	212	9	0.350	1	1	1	0.484	1880306.899	1880307.243	1880307.887	1880307.909
1	2	52	216	12	0.350	2	2	1	0.439	1880310.903	1880311.243	1880311.885	1880311.889
1	2	53	220	2	0.200	2	2	1	0.399	1880314.905	1880315.110	1880315.893	1880315.897
1	2	54	224	7	0.250	1	1	1	0.531	1880318.904	1880319.158	1880319.884	1880319.888
1	2	55	228	10	0.750	1	1	1	0.427	1880322.923	1880323.641	1880323.892	1880323.896
1	2	56	232	1	0.400	2	2	1	0.390	1880326.925	1880327.296	1880327.892	1880327.897
1	2	57	236	8	0.250	2	2	1	0.508	1880330.909	1880331.146	1880331.887	1880331.890
1	2	58	240	6	0.150	2	2	1	0.511	1880334.922	1880335.058	1880335.892	1880335.896
1	2	59	244	5	0.600	1	1	1	0.438	1880338.912	1880339.495	1880339.890	1880339.894
1	2	60	248	9	0.350	1	1	1	0.492	1880342.913	1880343.237	1880343.888	1880343.893
1	2	61	252	3	0.350	2	2	1	0.362	1880346.902	1880347.265	1880347.891	1880347.896
1	2	62	256	4	0.750	2	2	1	0.406	1880350.906	1880351.647	1880351.886	1880351.890
1	2	63	260	11	0.150	2	2	1	0.529	1880354.909	1880355.050	1880355.885	1880355.889
1	2	64	264	13	0.700	2	2	1	0.420	1880358.921	1880359.594	1880359.885	1880359.889
1	2	65	268	NaN	NaN	NaN	NaN	NaN	NaN	1880362.891	NaN	NaN	NaN
