ev_001	ev_002	ev_003	ev_004	ev_005	ev_006	ev_007	ev_008	ev_009	ev_010	ev_011	ev_012
-0.0007296960649843518	-0.03850094918213108	0.0	0.0	0.0003092496584615304	0.0	0.0	0.07799587914341108	-0.09024185465095223	-0.006803815364539972	0.0	-5.571157738285606e-05
-0.0002089719284881351	-0.017483810331804222	0.0	0.0	0.10142887619646362	0.0	0.0	-0.05671543302499155	-0.06897870732980571	-0.002342817161932324	0.0	-1.3965212015554978e-05
-5.5715423683811767e-05	-0.006804164177938777	0.0	0.0	0.32727120110077407	0.0	0.0	-0.09024200068993422	-0.03850230776550272	-0.000729741041521169	0.00030906490824297584	-1.981471722167547e-07
-1.3966217583570056e-05	-0.0023429505363700286	0.0	0.0	0.2757116213562977	0.0	0.0	-0.06898027847416702	-0.01748458443639539	-0.00020898564091268557	0.10141684530153398	0.0
-1.9862420229320272e-07	-0.000729786018057987	0.0003088801580244175	0.0	0.0780146504806982	0.0	0.0	-0.038503666348874394	-0.006804512991337588	-5.5719269984767554e-05	0.3272655436942542	0.0
0.0	-0.00020899935333723273	0.10140481440660722	0.0	-0.056707309991616196	0.0	0.0	-0.017485358540986373	-0.0023430839108077015	-1.3967223151584891e-05	0.2757202717756951	0.0
0.0	-5.5723116285722345e-05	0.3272598862877358	0.0	-0.09024229276789818	0.0	0.0	-0.006804861804736309	-0.0007298309945947933	-1.991012323695271e-07	0.07802403614933942	0.0
0.0	-1.396822871959999e-05	0.2757289221950947	0.0	-0.06898342076288927	0.0	0.0	-0.002343217285245409	-0.0002090130657617835	0.0	-0.05670324847492795	0.0
0.0	-1.9957826244597546e-07	0.07803342181798308	0.0	-0.03850638351561738	0.0003085106575873485	0.0	-0.0007298759711316115	-5.572696258667814e-05	0.0	-0.09024243880688017	0.0
0.0	0.0	-0.05669918695823979	0.0	-0.01748690675016873	0.1013807526167477	0.0	-0.0002090267781863339	-1.3969234287615065e-05	0.0	-0.06898499190725056	0.0
0.0	0.0	-0.09024258484586216	0.0	-0.006805559431533924	0.32724857147469616	0.0003083259073687945	-5.573080888763383e-05	-2.0005529252241228e-07	0.0	-0.03850774209898902	0.0
0.0	0.0	-0.0689865630516119	0.0	-0.0023434840341208215	0.2757462230338938	0.10136872172181781	-1.3970239855630161e-05	0.0	0.0	-0.017487680854759914	0.0
0.0	0.0	-0.038509100682360346	0.0003081411571502836	-0.000729965924205235	0.07805219315526775	0.32724291406817774	-2.005323225987377e-07	0.0	0.0	-0.006805908244932646	0.0
0.0	0.0	-0.0174884549593509	0.101356690826891	-0.00020905420303543189	-0.056691063924864345	0.2757548734532912	0.0	0.0	0.0	-0.002343617408558495	0.0
0.0	0.0	-0.006806257058331457	0.3272372566616578	-5.5738501489544424e-05	-0.09024287692382611	0.0780615788239114	0.0	0.0	0.0	-0.000730010900742053	0.00030795640693172515
0.0	0.0	-0.0023437507829962025	0.2757635238726908	-1.39722509916601e-05	-0.06898970534033416	-0.05668700240817609	0.0	0.0	0.0	-0.00020906791545998262	0.1013446599319611
0.0	0.0	-0.0007300558772788711	0.07807096449255507	-2.014863827516344e-07	-0.03851181784910369	-0.0902430229628081	0.0	0.0	0.0	-5.574234779050021e-05	0.32723159925513795
0.0	0.0	-0.0002090816278845334	-0.05668294089148784	0.0	-0.017490003168533275	-0.0689912764846955	0.0	0.0	0.0	-1.3973256559675197e-05	0.27577217429209044
0.0	0.0	-5.57461940914559e-05	-0.0902431690017901	0.0	-0.006806954685129071	-0.03851317643247532	0.0	0.0003075869064946132	0.0	-2.0196341282806987e-07	0.07808035016119848
0.0	0.0	-1.3974262127690268e-05	-0.06899284762905679	0.0	-0.002344017531871614	-0.01749077727312444	0.0	0.10132059814210162	0.0	0.0	-0.05667887937479971
0.0	0.0	-2.024404429045179e-07	-0.03851453501584699	0.00030740215627605484	-0.000730145830352506	-0.006807303498527882	0.0	0.32722028444209833	0.0	0.0	-0.09024331504077208
0.0	0.0	0.0	-0.01749155137771543	0.10130856724717478	-0.000209109052733631	-0.0023441509063092877	0.0	0.2757894751308873	0.0	0.0	-0.06899441877341772
0.0	0.0	0.0	-0.006807652311926605	0.32721462703557985	0.00025146351936417683	-0.0007301908068893127	0.0	0.0780991214984834	0.0	0.0	-0.03851589359921832
0.0	0.0	0.0	-0.0023442842807469954	0.27579812555028693	0.10128256007898116	-0.00020912276515818175	0.0	-0.05667075634142424	0.0	0.0	-0.017492325482306614
0.0	0.0	0.0	-0.0007302357834261308	0.07810850716712706	0.3272087662345569	-5.575773299432229e-05	0.0	-0.09024360711873604	0.0	0.00030703265583898484	-0.006808001125325417
0.0	0.0	0.0	-0.00020913647758273251	-0.05666669482473599	0.27580677596968656	-1.3977278831735308e-05	0.0	-0.06899756106214039	0.0	0.10128450545731499	-0.002344417655184703
0.0	0.0	0.0	-5.576157929527808e-05	-0.09024375315771803	0.07811789283577072	-2.0387153313374167e-07	0.0	-0.03851861076596167	0.0003068479056204263	0.32720331222254007	-0.0007302807599629488
0.0	0.0	0.0	-1.3978284399750405e-05	-0.06899913220650172	-0.05666263330804774	0.0	0.0	-0.017493873691488988	0.10127247456238508	0.2758154263890862	-0.00020915019000728325
0.0	0.0	0.0	-2.0434856321017548e-07	-0.0385199693493333	-0.09024389919670002	0.0003066631554018735	0.0	-0.006808698752123029	0.32719765481602037	0.07812727850441409	-5.576542559623375e-05
0.0	0.0	0.0	0.0	-0.01749464779608015	-0.069000703350863	0.10126044366745555	0.0	-0.002344684404060114	0.2758240768084856	-0.056658571791359615	-1.3979289967765471e-05
0.0	0.0	0.0	0.0003064784051833615	-0.006809047565521753	-0.03852132793270463	0.3271919974095019	0.0	-0.0007303707130365723	0.0781366641730554	-0.09024404523568197	-2.0482559328650393e-07
0.0	0.0	0.0	0.10124841277252868	-0.0023448177784977883	-0.017495421900671142	0.27583272722788305	0.0	-0.0002091776148563809	-0.05665451027467239	-0.06900227449522395	0.0
0.0	0.0	0.0	0.327186340002982	-0.0007304156895733905	-0.006809396378920565	0.07814604984169905	0.0	-5.577311819814436e-05	-0.09024419127466397	-0.0385226865160763	0.0
