ev_001	ev_002	ev_003	ev_004	ev_005	ev_006	ev_007	ev_008	ev_009	ev_010	ev_011	ev_012	ev_013
-5.5673469880682175e-05	-1.9294393249520363e-07	0.0	-0.0007292504567248139	0.0	0.0	0.0	-0.09024040775927948	-0.006800359470810835	0.0	0.00031108008448286	0.32733290966754713	-0.03848748892008074
-1.395518282931706e-05	0.0	0.0	-0.00020883516552677595	0.0	0.0	0.0	-0.068963037281465	-0.002341486931599752	0.0	0.1015488681652307	0.2756166946573304	-0.01747608968138966
-1.9335791715750723e-07	0.0	0.0	-5.567680784547919e-05	0.0	0.0	0.0	-0.03848866794988641	-0.000729289489056999	0.0	0.3273279999571467	0.07791103519581999	-0.006489742432925789
0.0	0.0	0.0	-1.3956055499104092e-05	0.0	0.0	0.0	-0.017476761478501926	-0.00020884706568512695	0.0	0.2756242018170072	-0.056752416445121405	0.09919682462264191
0.0	0.0	0.0	-1.9377190181981082e-07	0.0	0.0	0.0	-0.006800964897614063	-5.56801458102762e-05	0.0	0.0779191804324744	-0.08992990181744401	0.32659376172535703
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0023417184263179462	-1.395692816889098e-05	0.0	-0.056748891708008085	0.032562222160034904	0.27542285001083927
0.0	0.0	0.0	0.00031059908489425883	0.0	0.0	0.0	-0.0007293675537213696	-1.9418588648211808e-07	0.0	-0.09024078797366195	0.28882715452684804	0.0778716421853538
0.0	0.0	0.0	0.1015175455743443	0.0	0.0	0.0	-0.0002088708660018251	0.0	0.0	-0.06896712777617385	0.25816111106363204	-0.056759324771733455
0.0	0.0	0.0	0.32731327082594464	0.0	0.0	0.0	0.00025475192995816365	0.0	0.0	-0.038492205039303604	0.07113390058136719	-0.0902411093116606
0.0	0.0	0.0	0.2756467232960339	0.0	0.0	0.0	0.1014931460372076	0.0	0.0	-0.017478776869838397	-0.05908379215481758	-0.06896849127441006
0.0	0.0	0.0	0.07794361614243892	0.0	0.0	0.0	0.3273081661016884	0.0	0.0	-0.006801873037818955	-0.09097048706830269	-0.03849338406910927
0.0	0.0	0.0	-0.056738317496667565	0.0	0.0	0.0	0.2756542304557107	0.0	0.0	-0.0023420656683952284	-0.069178749438965	-0.017479448666950663
0.0	0.0	0.0	-0.09024116818804442	0.0	0.0	0.0	0.07795176137909332	0.00031011808530563453	0.0	-0.0007294846507179309	-0.03855025659658441	-0.00680217575122057
0.0	0.0	0.0	-0.0689712182708827	0.0	0.0	0.0	-0.05673479275955425	0.10148622298345789	0.0	-0.00020890656647687425	-0.017494080882910858	-0.0023421814157543164
0.0	0.0	0.0	-0.038495742128720624	0.0	0.0	0.0	-0.09024129492617192	0.3272985416947433	0.0	0.00025426091647517117	-0.006802674306447319	-0.0007295236830501164
0.0	0.0	0.0	-0.017480792261174976	0.0	0.0	0.0	-0.06897258176911891	0.2756692447750618	0.0	0.10146182082831183	-0.002342297163113404	-0.00020891846663522332
0.0	0.0	0.0	-0.006802781178023847	0.0	0.0	0.0	-0.03849692115852647	0.07796805185240345	0.0	0.32729343572853237	-0.0007295627153823074	-5.570017359905936e-05
0.0	0.0	0.0	-0.002342412910472492	0.0	0.0	0.0	-0.017481464058287134	-0.05672774328532762	0.0	0.27567675193473734	-0.0002089303667935724	-1.3962164187612455e-05
0.0	0.0	0.0	-0.0007296017477144925	0.0	0.0	0.0	-0.006803083891425462	-0.0902415484024269	0.0	0.07797619708905784	-5.570351156385638e-05	-1.9666979445607046e-07
0.0	0.0	0.0	-0.0002089422669519234	0.0	0.0	0.0	-0.002342528657831598	-0.06897530876559156	0.0	-0.05672421854821373	-1.3963036857399484e-05	0.0
0.0	0.0	0.0	-5.570684952865339e-05	0.0	0.0	0.0	-0.0007296407800466777	-0.03849927921813781	0.0	-0.0902416751405544	-1.9708377911837406e-07	0.0
0.0	0.0	0.0	-1.3963909527186232e-05	0.0	0.0	0.0	-0.00020895416711027055	-0.017482807652511447	0.0	-0.06897667226382755	0.0	0.0
0.0	0.0	0.0	-1.974977637807449e-07	0.0	0.0	0.0	-5.571018749345094e-05	-0.006803689318228739	0.0003093164193245829	-0.03850045824794367	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3964782196973263e-05	-0.0023427601525497737	0.101434018665315	-0.017483479449623713	0.0	0.0
0.0	0.00030915608612840903	0.0	0.0	0.0	0.0	0.0	-1.9791174844298126e-07	-0.0007297188447110478	0.3272739931427405	-0.006803992031630304	0.0	0.0
0.0	0.10142357780168507	0.0	0.0	0.0	0.0	0.0	0.0	-0.00020897796742697254	0.27570678057344206	-0.0023428758999088804	0.0	0.0
0.0	0.3272690834323393	0.0	0.0	0.0	0.0003089957529321831	0.0	0.0	-5.571686342304497e-05	0.07800877803567677	-0.0007297578770432393	0.0	0.0
0.0	0.2757142877331164	0.0	0.0	0.0	0.10141313693805853	0.0	0.0	-1.396652753654704e-05	-0.05671011959976047	-0.0002089898675853197	0.0	0.0
0.0	0.07801692327233249	0.0	0.0	0.0	0.32726417372193806	0.0003088354197359571	0.0	-1.9873971776772292e-07	-0.09024218209306438	-5.572020138784252e-05	0.0	0.0
0.0	-0.05670659486264658	0.0	0.0	0.0	0.2757217948927932	0.10140269607442859	0.0	0.0	-0.06898212625677283	-1.396740020633407e-05	0.0	0.0
0.0	-0.09024230883119184	0.00030867508653978327	0.0	0.0	0.07802506850898558	0.32725926401153843	0.0	0.0	-0.03850517436716634	-1.9915370242995926e-07	0.0	0.0
0.0	-0.06898348975500926	0.10139225521079866	0.0	0.0	-0.05670307012553269	0.2757293020524699	0.0	0.0	-0.017486166638072557	0.0	0.0	0.0
0.0003085147533435573	-0.038506353396972205	0.32725435430113725	0.0	0.0	-0.09024243556931935	0.0780332137456413	0.0	0.0	-0.006805202885236859	0.0	0.0	0.0
0.10138181434717211	-0.017486838435184605	0.2757368092121443	0.0	0.0	-0.06898485325324526	-0.056699545388419946	0.0	0.0	-0.0023433388893452315	0.0	0.0	0.0
0.327249444590736	-0.006805505598638523	0.07804135898229703	0.0	0.00030835442014733136	-0.03850753242677807	-0.09024256230744686	0.0	0.0	-0.0007299140063719925	0.0	0.0	0.0
0.27574431637182106	-0.002343454636704338	-0.05669602065130606	0.0	0.10137137348354218	-0.01748751023229687	-0.06898621675148169	0.0	0.0	-0.00020903746821871984	0.0	0.0	0.0
0.0780495042189501	-0.0007299530387041711	-0.08993449495862317	0.0	0.3272445348803364	-0.006805808312040088	-0.03850871145658354	0.0	0.0	-5.5733553247030575e-05	0.0	0.0	0.0
-0.05669249591419321	-0.00020904936837706735	0.03237335237019763	0.0	0.27575182353149563	-0.0023435703840634105	-0.01748818202940894	0.0	0.0	-1.397089088548165e-05	0.0	0.0	0.0
-0.09024281578370184	-5.573689121182813e-05	0.2887297346835458	0.0	0.07805764945560582	-0.0007299920710363626	-0.006806111025441751	0.0	0.0	-2.0080964107930812e-07	0.0	0.0	0.0
-0.06898894374795411	-1.3971763555268655e-05	0.258270476864651	0.0	-0.056688971177079425	-0.000209061268535418	-0.0023436861314225137	0.0	0.0	0.0	0.0	0.0	0.0
-0.03851106951619488	-2.012236257415445e-07	0.0712593809534156	0.0	-0.09024294252182931	-5.5740229176624596e-05	-0.0007300311033685414	0.0	0.0	0.0003078734205587577	0.0	0.0	0.0
-0.01748952562363345	0.0	-0.05902924831874715	0.0	-0.06899030724619054	-1.3972636225055686e-05	-0.000209073168693769	0.0	0.0	0.10134005089265577	0.0	0.0	0.0
-0.00680671645224498	0.0	-0.09097313939565754	0.0	-0.03820453545863821	-2.0163761040391532e-07	-5.5743567141422155e-05	0.0	0.0	0.32722980574913435	0.0	0.0	0.0
-0.0023439176261406893	0.0	-0.06920075581327864	0.0	0.08383941260828374	0.0	-1.3973508894842432e-05	0.0	0.0	0.27577434501052334	0.0	0.0	0.0
-0.0007301091680329243	0.0	-0.03856917448091282	0.0003075527541663058	0.3204178768730865	0.0	-2.0205159506628615e-07	0.0	0.0	0.07808208516557034	0.0	0.0	0.0
-0.00020909696901046714	0.0	-0.01750484359942239	0.10131916916539929	0.27343781879670026	0.0	0.0	0.0	0.0	-0.056678396965738904	0.0	0.0	0.0
-5.5750243071016175e-05	0.0	-0.006807524344627937	0.3272199863283335	0.07736008220185833	0.0	0.0	0.0	0.00030739242097013194	-0.09024332273621179	0.0	0.0	0.0
-1.3975254234416494e-05	0.0	-0.0023441491208589025	0.27578935932987686	-0.05688398109779383	0.0	0.0	0.0	0.10130872830176936	-0.0689943977408994	0.0	0.0	0.0
-2.0287956439089335e-07	0.0	-0.0007301872326972945	0.07809837563887916	-0.09029920305537509	0.0	0.000307232087773906	0.0	0.3272150766179323	-0.03851578563541794	0.0	0.0	0.0
0.0	0.0	-0.0002091207693271653	-0.05667134749151227	-0.06900973736603958	0.0	0.10129828743814281	0.0	0.2757968664895512	-0.01749221281208208	0.0	0.0	0.0
0.0	0.0	-5.575691900061129e-05	-0.0902435762124668	-0.03851716795877286	0.0	0.3272101669075311	0.0	0.07810652087553488	-0.006807927305851535	0.0	0.0003070717545776801	0.0
0.0	0.0	-1.3976999573990272e-05	-0.06899712473737181	-0.017492884609194344	0.0	0.275804373649228	0.0	-0.056667822754398384	-0.002344380615577078	0.0	0.10128784657451288	0.0
0.0	0.0	-2.0370753371550052e-07	-0.038518143695029275	-0.0068082300192531	0.0003069114213815062	0.07811466611218795	0.0	-0.09024370295059427	-0.0007302652973616647	0.0	0.32720525719713145	0.0
0.0	0.0	0.0	-0.01749355640630661	-0.0023444963629361843	0.10127740571088295	-0.056664298017284495	0.0	-0.06899848823560825	-0.0002091445696438673	0.0	0.2758118808089048	0.0
0.0	0.0	0.0	-0.006808532732654764	-0.0007303043296938562	0.32720034748673027	-0.09024382968872177	0.0	-0.03851932272483513	-5.5763594930205314e-05	0.0003067510881852802	0.07812281134884368	0.0
0.0	0.0	0.0	-0.0023446121102952537	-0.00020915646980221444	0.27581938796857913	-0.06899985173384424	0.0	-0.017494228203418657	-1.3978744913564049e-05	0.1012669648472564	-0.05666077328017175	0.0
0.0	0.0	0.0	-0.000730343362026035	-5.576693289500178e-05	0.07813095658549675	-0.03852050175464061	0.0	-0.006808835446056329	-2.0453550304010772e-07	0.32719543777633064	-0.09024395642684924	0.0
0.0	0.0	0.0	-0.00020916836996056544	-1.397961758335108e-05	-0.05665724854305786	-0.017494900000530923	0.0	-0.00234472785765436	0.0	0.2758268951282559	-0.06900121523208066	0.0
0.0	0.0	0.0	-5.5770270859799335e-05	-2.0494948770247855e-07	-0.09024408316497674	-0.006809138159457992	0.0	-0.0007303823943582264	0.0	0.07813910182215247	-0.03852168078444647	0.0
0.0	0.0	0.0	-1.3980490253137826e-05	0.0	-0.06900257873031666	-0.002344843605013429	0.0	-0.0002091802701189126	0.0	-0.05665372380594512	-0.01749557179764297	0.0
0.0	0.0	0.0	-2.0536347236484939e-07	0.0	-0.03852285981425233	-0.0007304214266904178	0.0	-5.5773608824596894e-05	0.0	-0.09024420990310425	-0.006809440872859656	0.0
0.0	0.0	0.0	0.0	0.0	-0.017496243594755236	-0.0002091921702772636	0.0	-1.3981362922924857e-05	0.0	-0.06900394222855309	-0.0023449593523725354	0.0
0.0	0.0	0.0	0.0	0.0	-0.006809743586261221	-5.577694678939336e-05	0.0003061097554004806	-2.0577745702708575e-07	0.0	-0.038524038844057806	-0.0007304604590225966	0.0
0.0	0.0	0.0	0.0	0.0	-0.002345075099731642	-1.3982235592711888e-05	0.10122520139274006	0.0	0.0	-0.017496915391867502	-0.0002092040704356146	0.0
0.0	0.0	0.0	0.0	0.0	-0.000730499491354788	-2.0619144168945658e-07	0.32717579893472737	0.0	0.0	-0.006810046299662884	-5.5780284754190914e-05	0.00030594942220425465
0.0	0.0	0.0	0.0	0.0	-0.00020921597059396174	0.0	0.27585692376695814	0.0	0.0	-0.002345190847090711	-1.3983108262498634e-05	0.10121476052911352
0.0	0.0003057890890080287	0.0	0.0	0.0	-5.578362271898847e-05	0.0	0.07817168276877273	0.0	0.0	-0.0007305385236869795	-2.0660542635182742e-07	0.32717088922432613
0.0	0.10120431966548359	0.0	0.0	0.0	-1.3983980932285665e-05	0.0	-0.05663962485749071	0.0	0.0	-0.00020922787075231274	0.0	0.27586443092663493
0.00030562875581185484	0.3271659795139265	0.0	0.0	0.0	-2.0701941101406376e-07	0.0	-0.0902447168556142	0.0	0.0	-5.578696068378494e-05	0.0	0.0781798280054258
